"country","decade","rate_min","rate_max","percentile.0.","percentile.25.","percentile.50.","percentile.75.","percentile.100.","median"
"South Korea","2010-2019",1.92558489641229,8.6610372530129,1.9255849,3.8575,5.1341025,6.153846,8.66103725,5.18612509896771
"Spain","1950-1959",0.108233307718117,0.221436859493884,0.10823331,0.10947587,0.11071843,0.16607764,0.22143686,0.110718429746942
"Spain","1960-1969",0.216466615436234,0.79,0.21646662,0.38378682,0.64939985,0.70215529,0.79,0.649399846308703
"Spain","1970-1979",0,3.14,0,1.14028319,1.29879969,2.25394092,3.14,1.29879969261741
"Spain","1980-1989",0.82,12,0.82,2.5,2.85806597,4.14185862,12,2.85806596507433
"Spain","1990-1999",2.37,10.6068641563755,2.37,3.90548575,5.91387705,8,10.60686416,5
"Spain","2000-2009",0,19.95,0,5.59258278,7.48,9.39,19.95,7.445
"Spain","2010-2019",4.44,15.125860706626,4.44,8.05360186,10.03497471,10.93240624,15.12586071,9.05
"Sri Lanka","2000-2009",0.666666666666667,0.666666666666667,0.66666667,0.66666667,0.66666667,0.66666667,0.66666667,0.666666666666667
"Sri Lanka","2010-2019",1,1.31818181818182,1,1,1,1.07954545,1.31818182,1.15909090909091
"Sweden","1940-1949",1.9,4.5,1.9,2,2.2,4.2,4.5,3.2
"Sweden","1950-1959",1.2,9.1,1.2,1.875,4.7,7.5,9.1,4.7
"Sweden","1960-1969",2.6,14.9,2.6,3.7,4.43692777,9.7,14.9,4.34406082806207
"Sweden","1970-1979",1.97244884603651,16.8,1.97244885,4.51348132,8.2,11.9,16.8,5.59480193805975
"Sweden","1980-1989",4.7,16.4,4.7,10.95,12.1,14.16193073,16.4,12.1497558247009
"Sweden","1990-1999",13.3045227588259,25.3,13.30452276,14.80563531,15.84140491,18.32316229,25.3,15.9138225354897
"Sweden","2000-2009",15.0461157957858,31.0487233878527,15.0461158,19.1625,21.75,25.68644121,31.04872339,21.5
"Sweden","2010-2019",3,28.9628584725884,3,19.7368313,23.00044453,25.81636485,28.96285847,22.5108584456727
"Taiwan","1990-1999",0.372902149187009,0.64,0.37290215,0.51900802,0.55662008,0.58954264,0.64,0.54454044662363
"Taiwan","2000-2009",0.423371432361611,1.02,0.42337143,0.65610761,0.82,0.87488361,1.02,0.821162962657005
"Taiwan","2010-2019",0.64464100264883,1.62783686853653,0.644641,0.78487371,0.9466209,1.085,1.62783687,0.94831044831329
